tweet_id,message,historical_response,intent,expected_action,expected_reason,human_groundedness,human_correctness,human_relevance,human_helpfulness,human_tone
56940,"@AmazonHelp Standard delivery , by the way it comes out nov 3","@128893 I'm sorry for the wait. While we strive to get your items to you on time, in rare cases, delays may occur. ^WT",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,3,3,4,3,4
282250,今日アマゾンから届くはずだったスーファミミニがシステムエラーが原因で強制キャンセルされてるって一方的にメールが来てるんだけど💢どういうこと？一方的にキャンセルって！！めっちゃ楽しみにしてたのに！！あり得ない！,"@183233 このたびは、ご迷惑をおかけし申し訳ございません。
本件についてご注文いただいたお客様に後日https://t.co/st4oU5QbhPよりご連絡を行わせていただきますため、そのご連絡をお待ちいただきますようお願いいたします。HM",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,3,3,4
225053,@AmazonHelp C'est fait.,@158231 Merci ! ^AR,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
21490,@115850 frnd ordered kindle wich was not delivered.He canceled order &amp; U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,@120693 here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH,delivery_or_order,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",3,3,4,3,4
21048,"@AmazonHelp I did call the customer service. But, they were unable to provide any update!",@120613 and I'll get back to you. 2/2 ^SH,technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,3,3,4,3,4
62402,"@AmazonHelp Na verdade, eu não consigo escolher uma, mas estou indo pelas editoras que são umas 5 diferentes...",@130297 Massa! Que livro você está lendo neste momento?  ^JJ,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,2,2,3,2,4
128840,"Eff you Amazon.  I've waited all day for your 49"" tv to go on sale yet my business means nothing evidently. Most idiots can't check their phone every 10 mins to see if that is up next on their list. @115850","@144981 I understand your disappointment. Sales run based on availability of stocks. Once its completely claimed the next product would be up for sale. Hence, kindly stay tuned to the website for an update.  Appreciate your understanding.  ^EM",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
133774,@115850  https://t.co/ro8EDPqKhH,"@146146 Please don't provide your order details, as we consider them to be personal information. Our page is visible to the public. ^GK",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,4,3,4
250651,"@AmazonHelp So bad service provided by amazon , i ordered a product yet not recd but when check delvery status its showing derlivered.. https://t.co/wCfYq9CvoM",@171391 Sorry about that. Please report this to our support team here: https://t.co/vlvfJrlYEH. ^MP (1/2),delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
285110,"o @117086 não consegue entregar 3 livros em menso de 5 dias,  e o status do pedido não mudou desde o dia 29/09 tsc vergonhoso","@183923 Olá, Jeff, sinto muito o inconveniente, na hora de finalizar o pedido, você recebeu e-mail de confirmação? ^AZ",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,5,5,5,5,5
19442,@AmazonHelp Ok thank u,"@120317 You're welcome, Aleema. Do let us know if you need any further assistance. ^SY",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
277097,@AmazonHelp It's ok since u r not accepting deliberate delay let all see,@182213 Please share your details in the link provided above and we'll have the issue checked for you. (2/2) ^KA,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,3,3,4,3,4
121091,@AmazonHelp @115821 @AmazonHelp @116316 unfortunately it's been now 2 weeks and the order still hasn't been dispatched. No updates from your support team. All I get is standard text book random replies. Is this the way to treat old clients?,@142952 What was the last update you received? ^AN,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
323796,@AmazonHelp Where can I see ongoing Amazon Pay offers? @115850,"@193119 Hi Mike, here is the link: https://t.co/5mkJPHDoSH. ^HN",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
306175,@AmazonHelp “Expected 3rd October”,@189098 We'd like to look into available options with you! Please get in touch with us by phone/chat here: https://t.co/JzP7hlA23B ^KJ,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,4
320084,How Amazon staff involved in Black marketing by selling Clients product even after 01 Delivery Attempt and saying lost @115821 @AmazonHelp https://t.co/eye45S2UlS,@183289 Sorry for the trouble you've had. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll help you with it. ^MM,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,5,5,5,5,5
272691,Amazon詐欺きたー！ https://t.co/BHy3lNAktL,@181102 (あの・・・ご存知かと思いますが・・・本当に詐欺ですのでご連絡なさらないでくださいね・・・)O o｡.(´-`*)　ET,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
224810,"@AmazonHelp ""Maximum cumulative""
This cleared my doubt. Thank you.",@169709 I’m glad to know that! Happy Shopping! ^GU,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,3,3,4
129712,@AmazonHelp Chat support gave me an email address and phone option. That's not the point why have chat support if they are rude and untrained?,"@145244 I'm sorry about the poor experience with the Chat agent. Did you use the feedback option after the Chat to report this? Please contact us again via chat, phone or email:  https://t.co/hApLpMlfHN. ^MI",account_or_login,AUTO,Clear account or login intent with sufficient historical evidence available for an automated reply.,4,4,4,4,5
231775,@115850 This deal darken my life by engaging me 24hr on this but no improvement in the whole day. https://t.co/kNXHJZuEAh,@171205 Sorry about that. We have exciting deals coming up. Stay tuned. ^NS,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,4,4,4,4,5
282170,@115850 pl confirm when pickup( 69956579711) will done bcz it's showing reschedule but didn't get any update last 3-4 days,@183218 This being a Social platform we cannot access your account. Please reach our support team here: https://t.co/vlvfJr4nN9^RB 1/2,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,3,3,4,3,4
152019,"@115830 seriously? I bought a tiny pack of batteries the pack is literally 5mm thick, and you sent it in a huge box! This meant it couldn’t be put through my door, and my neighbours got woken up last night as I wasn’t in! Please use appropriate packaging for items!!!!! https://t.co/9sCMmSlfJl",@150737 I'm sorry for the poor delivery experience! We're always looking for ways to improve our packaging! Please feel free to leave feedback here: https://t.co/5tACQmbW6S ^ME,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
356671,@AmazonHelp Well then you shoulf also read the earlier msgs where the same person has written about the same issue from the same id.@115821 @115850,@200693 I'm afraid we can't offer any further insight on this matter unless you share the details as requested earlier. (2/2) ^AS,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
382639,"@171152 @115850 
The amazon agent number is switched off AmzAgent(9702128923).
Please help.",@206708 Sorry to know about this. Kindly wait until the end of the day and I'm positive your order will be delivered. ^SH,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
9129,@AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,"@117632 We're here to help! Please, reach us phone or e-mail so we can investigate: https://t.co/jzvkhdlrK5 ^EB",account_or_login,AUTO,Clear account or login intent with sufficient historical evidence available for an automated reply.,,,,,
343789,"@AmazonHelp D'accord mais c'est un problème au niveau des livreurs, qui bâclent. Vous n'êtes pas fautifs mais vous répondez, vous! (coucou @132988)",@197809 Sachez que notre service client se tient à votre disposition en cas de besoin. ^FA,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
354508,@AmazonHelp How do you propose to resolve the situation then ?,@200264 Thank you for sharing your details. We're working on it and will get back to you soon. ^AP,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
96743,@AmazonHelp I received the wrong item. I have been told to send it back for a refund. But I am desperate for the item.,"@137113 I understand, Jennifer! Since we have offered a refund on return of the incorrect item, could you place a new order for the correct item? We want to be sure you receive the right thing! ^MT",payment_or_refund,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",,,,,
319732,@AmazonHelp Thanks to unhelpful/incomplete information on missed delivery card from Amazon Logistics,@162009 Sorry to hear that! Has the order been lost in transit?^CD,delivery_or_order,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",,,,,
225341,"What's the customer care number of Amazon Bhubaneswar
@115850",@169832 Kindly get in touch with us here: https://t.co/oX9HICV5Mz and we’ll be glad to help you. ^NS,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
180520,@AmazonHelp I tried logging into my Amazon acct for the 1st time in months and cannot access. Even if I send myself a new PW it doesn't work,@158446 I'm sorry for the trouble. Is your account with https://t.co/nUUp5MLhYl or https://t.co/ykTUEmdsQA? ^MG,account_or_login,AUTO,Clear account or login intent with sufficient historical evidence available for an automated reply.,,,,,
151992,"GG le support d'@120533 : ""Oui oui on vous assure vous serez livré aujourd'hui"". Et 20 min plus tard avoir une notif' ""Votre colis sera livré MARDI"" sur l'app'..... @2600. :/","@150733 Bonjour Jeremie, avez-vous un souci avec une commande en cours ? ^MA",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
93740,iPhone X seems to double costly on Amazon India @115850 @115858 . Check it out👇 https://t.co/LRoOvfZmPJ,"@136321 Prices on our website is offered as per seller's discretion. However, we will consider this as feedback and share it internally to get this checked. ^MD",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
128013,@AmazonHelp Haha..How will You define yourself @115821 **************(confused) #digitalmafia in #DigitalIndia @115851 @127586 @120844 @4871 @144769 @734 @120319 @120033 @1755 @144770 @144771 @4211 @144773 @2517 @144775 @120320 https://t.co/GWRBpeYMAl,"@144768 Apologies for the miscommunication. Kindly respond to the latest correspondence from our team with your insight for further assistance. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.^GD",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
419900,@2600 bonjour concerne commande #406-2541840-1733118 merci https://t.co/SD6wiJT0yc,"@215106 Bonjour, c'est quoi le souci exactement ? ^AR",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
345686,"@AmazonHelp Woo, very soon.but yesterday no body call. even ur delivery boy.called by me to delivery boy &amp; he denied how you treat CM. its 2 time .",@193843 Request you to share your details here: https://t.co/beaaDm0muc and we'll reach out to you. (2/2) ^GK,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
180222,"@115850 never expected a bullying &amp; crooked behaviour from Amazon. I requested a return of defective iPhone SE, no one from Amazon..contd#",@158406 Suggest you to contact the manufacturer and claim the warranty. ^SG(2/2),delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
65821,"@AmazonHelp No, I still need to take time out of my busy day later to call or chat about it what to do next.",@131057 I'm sorry for the inconvenience this has caused. Please keep us posted on what you are advised when you reach out to us directly. ^KI,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
62184,"@AmazonHelp your customer service is a joke, worst agents out there","@130241 I'm sorry for the poor experience! Without giving account/personal details, can you tell us what's going on? ^AC",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
204930,Amazonプライムミュージックにドリカムが入ってるのを発見！JBLに繋いで大音量でお掃除♪♪♪ https://t.co/6b7Rd67uYj,@164539 お片付けのおともにプライム・ミュージックのご利用ありがとうございます☺️✨ SK,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
63979,@AmazonHelp Gracias. Ahora borro el tuit. Necesito saber porqué no he recibido mi pedido y cuándo voy a hacerlo. mi ref403-3195704-8493158. Gracias,@130695 Por este medio no tenemos acceso a tu cuenta Ana. ¿Nos podrías confirmar la fecha de entrega estimada de tu pedido? ^JJ,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
183382,"@AmazonHelp Paket steckt so fest im Briefkasten, dass ich es nicht rausbekomme (und es sicher kaputt ist).Keine Kontanktdaten zum Versender.",@159123 Melde dich bitte mal bei unserem Kundenservice: https://t.co/ohyvGrpvrY Dieser prüft das gerne mal. ^SK,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
378516,@AmazonHelp According to the order 10/6-12  but I thought prime would make it get to me quicker than that? Status still says shipping soon.,"@205822 Was this item Prime eligible: https://t.co/9ManH1OTAT, or currently out of stock? ^CL",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
180799,@AmazonHelp Yeah I've requested @115851 to do needful. Let me know if you didn't heard from him.,"@158494 We can't directly view your Amazon account. Only if you share your details via the secure link, can we gain access. ^CB",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
285603,@AmazonHelp Son ustedes mismos: https://t.co/Jy2EK52ZEI,@184037 Puedes buscar el contacto del transportista a traves de este enlace: https://t.co/mEKBC5rf63 . ^MB,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
142810,@119862 @115850 @119862 @3021 this is for my Customer ID 64620370. How do we spoke this issue as Amazon is not able to help and I m not benefiting being your Customer. https://t.co/ROpjGSdpnw,"@148240 I'm sorry for the experience you had regarding the cashback on your order. We would like to take a closer look at this, kindly share your details here: https://t.co/beaaDm0muc and we will contact you soon. ^VH",technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,,,,,
355338,@AmazonHelp Thank you Amazon!,@200173 You're welcome! Glad we could help. Thanks for reaching out to us.  ^CO,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
25956,Danke @116316 für die überpünktliche Lieferung❤️ https://t.co/9My3Nh4Fqq,@121664 Viel Spaß! ^DW,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
330898,"Interesting feature in @115850 app, Wish List section. https://t.co/c12GkCf1re",@194779 Great that you liked it. Enjoy saving your to-shop list from here. ^CB,technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,,,,,
233140,@115821 this is the second time my next day Prime order has taken more than the agreed next day delivery. #poor,@171495 Sorry to hear about this. What does the tracking advise?: https://t.co/aaDyEz1VgE Was any reason given for a delay? ^PK,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
269132,@AmazonHelp No... just won't go to live feed. 4-5 minutes behind,@157987 That's odd! Could you tell us what device you are using to stream the game? ^ML,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
76035,@116928  y @4498 unos inútiles. Llevo 2 semanas pidiendo la recogida de un paquete y todavía no se han presentado. #inutiles #decepcion #amazonsucks,"@133016 Me apena mucho esta experiencia, Robert. Por favor reporta lo sucedido con nuestro equipo de Soporte al Cliente https://t.co/yUdBaXIHo2 para verificar tu caso, ya que por este medio no contamos con acceso a tu cuenta. ^VL",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
422278,"@115821, Also I would like to add they're giving money back into amazon pay.why amazon is forcing people to buy only from amazon?",@215577 here: https://t.co/beaaDm0muc and I'll look into it right away. 2/2 ^EM,payment_or_refund,AUTO,Clear payment or refund intent with sufficient historical evidence available for an automated reply.,,,,,
399137,@AmazonHelp Inspite of repeated escalation the cashback credit is not done. I am not able to place further orders as I am still waiting for the cashback,@210368 We apologize for the delay. Could you please confirm if you've shared your details in the link given earlier? ^ZH,payment_or_refund,AUTO,Clear payment or refund intent with sufficient historical evidence available for an automated reply.,,,,,
199979,@AmazonHelp you have my condition for the return in the first tweet itself. Fulfill it then we will talk,"@163180 We've responded to you here: https://t.co/KSrjj1x6pm, request you to check. ^MA",payment_or_refund,AUTO,Clear payment or refund intent with sufficient historical evidence available for an automated reply.,,,,,
49906,"@119625 In the first sentence, it's dive into and not five into. #GrammarNazi https://t.co/o74cGM0JJr","@127177 Thanks for getting this to our attention, Denzil. I'll be sure to pass this internally to the concerned team for a review.^GD",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
274684,"@115850 ORDER # 407-2070792-5879531
fraud wt customer by giving different product #fraudAmazon
Wn asking for return or refund- Giving resolution as this product comes under non returnable dat means dey r free 2 gv wrong product.
PFA of gym bag recieved wch is dfrnt on website😡 https://t.co/oDnKyFhqjf",@181628 I'm sorry to hear about the incorrect product delivered to you. Let us take a closer look at this. Please provide your details here: https://t.co/beaaDm0muc &amp; we'll assist you. (1/2)^SF,payment_or_refund,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",,,,,
160372,@AmazonHelp En fait non... https://t.co/z9s2uLbYkG,@152943 Pourrais-je avoir le lien vers la page de ce produit je vous prie? ^BR,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
365957,@AmazonHelp Expecting Prime delivery today. Delivery by @116324  They claim it was delivered and that I signed for it. THIS IS NOT TRUE. Please help.,"@202706 Terribly sorry for the problems with your order, Julie! Let's see if we can get this sorted: https://t.co/JzP7hlA23B ^JZ",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
294827,@AmazonHelp shared the disired information. hope for an early solution without any further delay,@186217 Thanks for the heads up. As you've shared the details we'll reach out to you soon. ^AS,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
291763,"@AmazonHelp @AmazonHelp reported &amp; was assured delivery on 7th Oct. I haven't got it yet, reason your incompetency to locate the address. @115851","@185479 possible. Please provide your details here: 
https://t.co/Bg7JpBuhdG and I'll get back to you. 2/2 ^SH",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
386401,"@AmazonHelp I have a pckg in a locker &amp; have to pick up ""by Oct 10"" - at what time? Can I still pick it up tomorrow? If not, can I extend?","@207482 To see the hours for each available location, go to https://t.co/nvo0GkmEKA
2. Click “Find"" and Enter an address or ZIP code. ^TD",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
380786,@AmazonHelp M nt able to login from my account. Its saying id already exists.,"@206315 Pick the link shared above to fill in your details, &amp; we'll check this for you. 1/2 ^MJ",account_or_login,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",,,,,
180688,@AmazonHelp And u guys still charge me ..,"@158472 I apologize for the trouble, you can cancel for a refund here: https://t.co/pf4jLVXqtx ^NC",payment_or_refund,ESCALATE,"Message contains account, payment, or security-sensitive keywords that require human verification.",,,,,
280361,"@AmazonHelp @115821 Hey people, seems your shipping service does this frequently. Item shows delivered, but not yet received. ID 919110109865","@160223 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ (2/2) ^SI",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
115858,@AmazonHelp Oui commande marquée éligible au retour mais après ça me dit qu’elle est pas éligible,"@141796 Je vous prie dans ce cas-là de le signaler à notre SAV via : https://t.co/hgIrz98cdI afin de vous assister avec le retour de la commande.
^KE",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
320856,Damn @115821 that's pretty quick shipping https://t.co/IQ7ahIf9In,"@192443 Hi TJ- Thanks for flagging this to us, do you happen to have the link where you saw this? ^NV",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
41530,@AmazonHelp As of now the aspect ratio seems to be 1:1. Very irritating.,@125127 I understand your concern. I've noted your comments and have forwarded your feedback internally. ^MO,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
26898,"@121890 @120474 Why does it say "" You have exceeded the maximum allowed number of tickets for this event."" I have no tickets ??!","@122004 My apologies Karolina. If you get in touch: https://t.co/JzP7hlA23B, we'll be happy to help. ^DC",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
312110,"@AmazonHelp For every order placed, don't you think you guys need to rethink the 'Prime' delivery model","@190339 I understand your concern, Nishir. Please revert to the email you've received from us. We'll get back to you. ^HD",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
132412,@AmazonHelp how will I know when my items will ship I usually get an email and it’s been 5 days and my item still isn’t showing an estimated shipping date,"@145872 Hey Ryan, are all items in stock? It's possible that one or more items may not be immediately in stock, hence why a delivery date was not yet provided. ^TP",delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
348342,"@115850 Is this how your offers work? By cancelling prepaid orders and asking for us to re-order?

#AmazonIN #AmazonGreatIndianFestival",@198929 I'll be sure to forward your feedback internally. We'll definitely work on the miss. 2/2 ^PS,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
158673,"@AmazonHelp 2 par amazon, un par un vendeur tier en effet","@152477 C'est le produit qui vendu et expédié par un tiers qui pose problème, car il ne peut pas être livré dans un relais. Cette option est possible juste pour les produits vendus et expédiés par Amazon. ^BR",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
425045,@AmazonHelp there have been multiple items that are days late or go missing and have to be reordered/resent. i paid for 1 day shipping last month and it took two days. there's no convenience if i could have gone to a store in the week my item is delayed.,@185209 Thanks for the additional information. Does this tend to be a pattern with certain carriers? ^SW,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
49969,@AmazonHelp Got call from Mi saying warranty expired and can't claim now. As the issue raised before expiry ask to deal with Amazon. Now resolution at u,@127186 to access your details here. 2/2 ^RS,technical_issue,ESCALATE,Technical issues may require access to account or system context unavailable to the automated agent.,,,,,
379809,"@AmazonHelp It was a big order - so one item was due to be delivered on the 12th, then the other 3 things were guaranteed today. I checked the tracker..",@206103 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into it. ^PK,delivery_or_order,AUTO,Clear delivery or order intent with sufficient historical evidence available for an automated reply.,,,,,
133785,@AmazonHelp Il y a moyen vous echangez Watch Dogs 2 par BF1 sur le pack ps4 pro edition black friday ?,@146150 Il n'est pas possible. ^SM,other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
382265,"Oh @115821, you know us too well. #FridayFeeling https://t.co/eY0kHS2sMW","@206637 Hey, can we see a pic of the potential wearers of the millinery? (cos we ❤️ cute pics) 😁 ^TS",other_or_unclear,ESCALATE,Intent is unclear or message is in a non-English language; a human agent should respond.,,,,,
